# date mjd sep pa err_maj err_min err_pa
2019Jul31 58695.3077 100.2258 278.8879 0.0294 0.0159 -40.5263
2019Aug01 58696.2992 100.0132 278.8231 0.0214 0.0156 -31.2522
2019Jul26 58691.2737 100.3398 279.0415 0.0895 0.0428 343.1141
2019Aug06 58701.2589 99.2638 278.8345 0.0214 0.0081 -40.9256
2019Oct14 58770.2021 88.4462 278.1295 0.0325 0.014 40.3486
2019Nov12 58799.1387 83.8393 277.691 0.0462 0.0203 39.2397
2019Aug20 58716.1937 96.3221 278.6643 0.0999 0.0467 348.9141
2019Aug08 58703.3097 98.9507 278.8171 0.0434 0.0345 -23.028
2019Sep08 58734.2041 94.0449 278.4439 0.1387 0.1019 -26.2862
2019Jul03 58668.3154 103.82 279.1873 0.1032 0.0477 348.8901
2019Jun03 58637.4727 109.1223 279.3256 0.0294 0.0124 -57.2958
