#STF 147      1822 2014  168  86 266   3.5   0.2  6.14  7.17 F5V+F7V   +043-417 +043-417 -12  315  O   014144.84-111928.9
       1796.71        .      .    E   .        .         .     .       .     .                 .    1 Lal1831       7   
       1822.30      86.0     .       3.53      .         .     .       .     .                0.1   1 StF1837  Ma   3   
       1823.97      89.6     .       4.19      .         .     .       .     .                0.1   1 S__1906A Ma   6   
       1828.69      85.5     .       7.01      .         .     .      1.5    .                0.1   1 HJ_1833a Ma ZP6   
       1830.70      87.0     .       4.33      .         .     .      1.3    .                0.1   2 HJ_1833a Ma   6   
       1830.79      89.0     .       6.        .         .     .      1.0    .                0.5   1 HJ_1833c Mb   6   
       1831.81      86.5     .       4.27      .         .     .       .     .                0.1   1 HJ_1835  Ma   3   
       1831.90      88.2     .       4.01      .        5.3    .      6.9    .                0.3   5 StF1837  Ma   3   
       1836.18      87.6     .       3.96      .         .     .       .     .                0.1   3 Da_1851  Ma   3   
       1836.85      89.2     .       4.14      .         .     .       .     .                0.3   1 Gll1840  Ma   4   
       1837.80      86.9     .       4.65      .         .     .       .     .                0.1   1 HJ_1906A Ma   6   
       1851.88      88.1     .       4.30      .         .     .       .     .                0.3   1 StF1837  Ma   3   
       1855.89      88.5     .       3.62      .        5.     .      6.5    .                0.3   3 Se_1860  Ma   3   
       1856.96      89.6     .       3.78      .         .     .       .     .                0.2   2 Mrt1861  Ma   3   
       1857.81      88.2     .       3.99      .        6.0    .      7.0    .                0.1   1 D__1883  Ma   3   
       1867.07      87.7     .       3.50      .        5.9    .      7.0    .                0.2   4 D__1884  Ma   3   
       1877.10      89.7     .       3.50      .         .     .       .     .                 .    1 Fla1906A      6   
       1877.81      86.6     .       3.50      .        6.0    .      7.5    .                0.3   1 Hwe1878  Ma   3   
       1877.89      86.6     .       4.29      .        5.8    .      7.5    .                0.3   2 Stn1878  Ma   3   
       1879.68      87.0     .       3.48      .        6.0    .      7.0    .                0.3   1 Hwe1882  Ma   3   
       1879.75      89.7     .       3.70      .         .     .       .     .                0.3   1 Egb1882  Ma   3   
       1880.05      88.0     .       3.53      .         .     .       .     .                0.2   3 Sp_1888  Ma   3   
       1881.72      85.5     .       4.26      .        5.0    .      7.0    .                0.3   1 Stn1890  Ma   3   
       1884.05      87.8     .       3.58      .        6.6    .      7.2    .                0.3   4 WHC1890  Ma   3   
       1884.95      88.0     .       3.52      .         .     .       .     .                0.2   1 Sbk1892  Ma   3   
       1885.90      88.1     .       3.16      .         .     .       .     .                0.2   1 Smt1892  Ma   3   
       1886.75      87.7     .       3.57      .        6.0    .      7.7    .                0.7   2 Lv_1930  Ma   3   
       1886.781     87.4     .       3.69      .         .     .       .     .                0.7   7 Lv_1915c Ma   7   
       1886.82      87.7     .       3.65      .        6.1    .      6.9    .                0.7   2 MlF1889  Ma   3   
       1888.87      88.0     .       3.64      .         .     .       .     .                0.2   2 SBc1899  Ma   3   
       1889.00      89.9     .       3.27      .         .     .       .     .                0.3   2 Gum1906A Ma   6   
       1889.76      89.7     .       3.76      .         .     .       .     .                0.3   1 Kin1928  Po   3   
       1889.97      88.2     .       3.46      .         .     .       .     .                0.2   1 Cel1923  Ma   3   
       1891.830     88.2     .       2.64      .         .     .       .     .                0.3   1 Cls1891b Ma   6   
       1892.803     88.6     .       3.80      .        6.2    .      7.2    .                0.3   4 Jns1892b Ma   6   
       1892.82      87.9     .       3.70      .         .     .       .     .                0.1   2 Sct1906A Ma   6   
       1892.88      90.4     .       3.29      .        5.3    .      6.9    .                0.2   2 Glp1894a Ma   3   
       1894.883     87.3     .       3.41      .        6.0    .      7.0    .                0.3   2 Cls1896  Ma   3   
       1895.85      88.6     .       3.45      .         .     .       .     .                0.2   4 Dob1927  Ma   3   
       1895.91      89.5     .       3.52      .         .     .       .     .                0.2   2 Maw1899  Ma   3   
       1897.89      86.8     .       4.05      .         .     .       .     .                0.1   2 Sct1906A Ma   6   
       1899.96      88.1     .       3.46      .         .     .       .     .                0.9   3 Hu_1911  Ma   3   
       1902.58      88.1     .       3.27      .         .     .       .     .                0.3   2 Hu_1911  Ma   3   
       1903.627     87.4     .       3.44      .        6.2    .      7.5    .                0.7   1 Din1911  Ma   3   
       1904.70      89.1     .       3.12      .         .     .       .     .                1.0   2 Bu_1906  Ma   3   
       1904.985     91.8     .       3.48      .        6.0    .      8.0    .                0.7   2 Ski1911  Ma   3   
       1905.89      89.5     .       3.11      .         .     .      1.8    .                0.7   1 Ol_1907  Ma   3   
       1909.32      87.5     .       3.07      .         .     .       .     .                0.2   3 Dob1927  Ma   3   
       1910.30      87.2     .       3.11      .        6.5    .      7.0    .                0.3   2 Ol_1910b Ma   3   
       1910.836     90.3     .       3.43      .         .     .       .     .                0.5   3 Fox1915  Ma   3   
       1911.87      88.8     .       2.84      .         .     .      1.3    .                0.5   4 Wz_1923  Ma   3   
       1916.00      95.7     .       3.204     .         .     .       .     .                0.2   1 WFD1931  T    6   
       1916.30      88.6     .       3.18      .         .     .      0.9    .                0.7   2 Ol_1916  Ma   3   
       1916.66      86.4     .       3.17      .        6.0    .      7.0    .                0.5   3 Doo1923  Ma   3   
       1916.69      87.6     .       3.37      .         .     .       .     .                0.3   1 Gui1931  Ma   3   
       1920.08      88.0     .       3.06      .         .     .       .     .                0.3   2 Cha1925a Ma   3   
       1922.01      88.0     .       2.93      .         .     .       .     .                0.4   1 Nec1924  Ma   3   
       1922.78      88.8     .       3.24      .         .     .       .     .                0.2   2 Blo1931  Ma   3   
       1922.91      89.6     .       2.74      .         .     .       .     .                0.4   4 Gau1923  Ma   3   
       1922.94      87.3     .       3.09      .         .     .       .     .                0.4   2 Lng1924  Ma   3   
       1922.98      87.3     .       2.76      .         .     .       .     .                0.4   2 PTC1924  Ma   3   
       1924.60      89.4     .       2.90      .         .     .       .     .                0.2   4 Vou1926  Ma   3   
       1924.97      89.0     .       2.79      .         .     .       .     .                0.2   3 Dob1927  Ma   3   
       1925.03      89.1     .       3.00      .         .     .      1.6    .                0.3   4 B__1925a Ma   3   
       1925.619     88.4     .       3.08      .         .     .       .     .                0.1   1 Baz1927a Ma   3   
       1925.67      88.4     .       2.84      .        6.0    .      7.6    .                0.3   3 Ber1927  Ma   3   
       1925.67      88.4     .       2.84      .         .     .      1.6    .                0.3   3 Ber1928b Ma   6   
       1926.69      89.8     .       2.97      .        6.0    .      7.5    .                0.3   3 Ber1927  Ma   3   
       1926.69      89.8     .       2.97      .         .     .      1.5    .                0.3   3 Ber1928b Ma   6   
       1926.83      87.8     .       2.50      .         .     .       .     .                0.3   2 Jan1929  Ma   0   
       1927.76      87.8     .        .        .         .     .       .     .                0.1   1 Baz1929b Ma   0   
       1927.84      88.9     .       2.58      .         .     .       .     .                0.2   1 Buc1929  Ma   0   
       1930.65      88.7     .       2.76      .        6.5    .       .     .                0.7   1 Ald1936a Po   0   
       1931.38      87.2     .       2.92      .         .     .       .     .                0.1   5 Baz1932a Ma   0   
       1932.67      88.4     .       2.89      .        6.0    .      7.3    .                0.4   4 Wal1934  Ma   0   
