USNO Double Star data for WDS 18078+2606

Note: the data request software was rewritten in July 2017, following introduction of the WDS supplement. Please see the
new datarequest.key file for a description of file contents. This effort is still ongoing; your comments regarding
format, errors, or missing information are welcome.

------------------------------------------------------------------------------------------------------------------------

MEASURES:

CHR  67Aa,Ab 1985 2009   15 175 316   0.1   0.2  5.9   8.8  A3V       -010+026          +26 3178 NO   180749.56+260604.4
       1985.5218   174.8     .       0.109     .         .     .       .     .     549  22    3.6   1 McA1987a Sc P 4   
       1987.7607   292.4     .       0.127     .         .     .       .     .     549  22    3.8   1 McA1989  Sc   4   
       1988.162       .      .    <  0.038     .         .     .       .     .     549  22    3.6   1 McA1993  Sc   5   
       1988.6645   304.3     .       0.165     .         .     .       .     .     549  22    3.8   1 McA1990  Sc   4   
       1989.7073   308.4     .       0.206     .         .     .       .     .     549  22    3.8   1 Hrt1992b Sc   4   
       1990.2723   311.5     .       0.219     .         .     .       .     .     549  22    3.8   1 Hrt1992b Sc   4   
       1991.3182   315.6     .       0.245     .         .     .       .     .     549  22    3.8   1 McA1993  Sc   4   
       1994.6985   325.4     .       0.281     .         .     .       .     .     549  22    3.8   1 Hrt2000a Sc   5   
       1996.5279   329.2     .       0.267     .         .     .       .     .     549  22    2.5   1 Hrt2000a Sc   5   
       1997.3905   332.3    2.0      0.265    0.003      .     .       .     .     600 130    6.0   1 Bag1999a S    5   
       1998.653   :335.3    1.5   :  0.245    0.006      .     .       .     .     530  57    2.0   1 Sca2000c S    5   
       2001.7536   172.5    0.7      0.127    0.002      .     .      2.81  0.15   600  30    6.0   1 Bag2006b S    7   
       2001.7536   172.5    1.4      0.127    0.003      .     .      2.12  0.10   850  70    6.0   1 Bag2006b S    7   
       2006.4420   311.0    1.0      0.207    0.004      .     .       .     .     545  30    6.0   1 Bag2013  S    7   
       2007.3159      .      .    <  0.054     .         .     .       .     .     550  24    2.5   1 Hrt2009  Su   7   
       2007.5878   312.9     .       0.235     .         .     .       .     .     540  24    3.8   1 Msn2011d Su   7   
       2009.655    316.1    1.0      0.242    0.007      .     .       .     .     644  70    1.0   1 Sca2011a S    7   

STF2280AB    1777 2017  218 180 183  17.0  14.4  5.81  5.84 A3V       -002+024 -011+030          NU   180749.56+260604.4
       1777.5     q180.      .      17.        .         .     .      0.     .                0.1   1 MyC1784       7   
       1781.78     181.6     .      11.72      .         .     .       .     .                0.2   1 H__1782  Mb   7   
       1821.80     184.7     .      14.47      .        6.     .      6.5    .                0.1   2 StF1837  Ma   3   
       1823.46     182.4     .      14.281     .         .     .       .     .                0.1   2 SHJ1824  Ma   7   
       1830.69    q183.0     .      13.6       .         .     .       .     .                0.2   1 Smy1844  Ma   6   
       1830.95    q182.7     .      14.02      .         .     .       .     .                0.2   8 Bes1833a D    4   
       1831.72    q182.9     .      13.85      .        5.9    .      5.9    .                0.3   6 StF1837  Ma   3   
       1834.78    q182.5     .      14.13      .         .     .       .     .                0.2   2 Bes1849  D    4   
       1835.50     182.50    .      14.40      .         .     .       .     .                0.3   2 Mad1836c Ma   7   
       1835.71     182.37    .      14.27      .         .     .       .     .                0.3   2 Mad1836c Ma   7   
       1836.39     182.48    .      14.28      .         .     .       .     .                0.3   2 Mad1837b Ma   7   
       1836.51    q181.6     .    : 17.78      .         .     .       .     .                0.3   1 Gll1840  Ma   4   
       1836.52    q182.8     .      14.1       .         .     .       .     .                0.2   1 Smy1844  Ma   6   
       1836.98    q182.6     .      13.96      .         .     .       .     .                0.3   2 Enc1840  Ma   4   
       1838.16    q182.2     .      14.95      .         .     .       .     .                0.3   2 Enc1840  Ma   4   
       1838.58    q182.4     .      14.24      .         .     .       .     .                0.3   4 Gll1840  Ma   4   
       1840.33     183.21    .      13.670     .         .     .       .     .                0.2   5 Kai1840  Ma   7   
       1841.67    q183.4     .      14.03      .         .     .       .     .                0.2   5 Bes1849  D    6   
       1841.69    q183.1     .      14.09      .         .     .       .     .                0.2  10 Shl1849  D    4   
       1843.92     182.7     .      14.06      .         .     .       .     .                0.3   5 Mad1844  Ma   4   
       1844.42     182.2     .      13.26      .         .     .       .     .                0.3   1 Mad1845  Ma N 4   
       1850.472   q183.3     .      13.852     .         .     .       .     .                0.2   6 JMJ1850  D    6   
       1852.17     183.3     .      14.12      .         .     .       .     .                0.3   2 Mad1856  Ma   4   
       1855.74    q184.6     .      13.97      .         .     .       .     .                 .    1 Lut1857  D    6   
       1855.82    q184.3     .      14.18      .         .     .       .     .                 .    1 Lut1857  D    6   
       1856.33    q184.4     .      13.98      .         .     .       .     .                 .    1 Lut1857  D    6   
       1857.50     182.8     .      14.11      .        5.5    .      6.     .                0.3   2 Se_1860  Ma   3   
       1857.52     181.9     .      14.11      .        5.0    .      5.0    .                0.1   1 D__1883  Ma   3   
       1857.52    q184.1     .      13.96      .         .     .       .     .                0.1   2 Flt1906A Ma   6   
       1857.58    q182.5     .      14.04      .         .     .       .     .                0.2   2 Da_1867  Ma   4   
       1857.59    q182.4     .      13.74      .         .     .       .     .                0.2   3 Da_1867  Ma   4   
       1861.45    q183.93    .      13.64      .        6.5    .      6.5    .                0.2   1 Mai1861  D    6   
       1861.45    q183.9     .      13.64      .         .     .       .     .                0.3   1 Mad1906A Ma   6   
       1861.467   q182.4     .      13.722     .         .     .       .     .                0.2   7 Auw1862  Ma   6   
       1863.58     182.4     .      14.12      .         .     .       .     .                0.3   3 Rom1865  Ma   3   
       1865.52    q182.8     .      14.02      .        5.5    .      5.5    .                0.2   3 D__1884  Ma   3   
       1865.69     183.5     .      13.86      .         .     .       .     .                0.2   8 Kai1872  Ma   3   
       1866.43     183.6     .      13.70      .         .     .       .     .                0.3   1 Tal1868  Ma   3   
       1866.62     183.1     .      13.99      .         .     .       .     .                0.2   5 Kai1872  Mc   3   
       1866.71     183.4     .      13.98      .         .     .       .     .                0.2   5 Kai1872  Ma   3   
       1870.52     184.1     .      15.03      .         .     .       .     .                0.3   2 Tal1873  Ma   3   
       1873.52     182.6     .      14.0       .         .     .       .     .                0.2   5 WS_1875  Ma   5   
       1874.49     183.2     .      14.17      .         .     .       .     .                0.2   2 Gld1875  Ma   3   
