HD,B_ I/259/tyc2,B_error_I/259/tyc2,V_ I/259/tyc2,V_error_I/259/tyc2,B_TycoDouble,B_error_TycoDouble,V_TychoDouble,V_error_TycoDouble,B_B_TycoDouble,B_B_error_TycoDouble,V_B_TychoDouble,V_B_error_TycoDouble,PA(deg)_tycoDouble,Sep(arcsec),notes,B_ /276/catalog,B_error_/276/catalog,V_ /276/catalog,V_error_/276/catalog,B_ J/A+A/531/A92,B_err_J/A+A/531/A92,V_ J/A+A/531/A92,V_err_J/A+A/531/A92,V_Mag  II/237,G _I/350/gaiaedr3,G_err,J_ II/246/out,J_err,H_ II/246/out,H_err,K_ II/246/out,K_err,HD,B_I/297,V_I/297,R_I/297,B1_I/284,R1_I/284,R1_err,B2_I/284,R2_I/284,R2_err,B_complete,B_err_complete,V_complete,V_err_complete
1976,5.431,0.014,5.561,0.009,,,,,,,,,,,,,,,,,,,,,5.521783,0.00335,5.739,0.021,5.841,0.026,5.845,0.021,1976,,,,5.34,5.62,0.15,5.49,5.63,0.15,5.431,0.014,5.561,0.009
2772,4.652,0.014,4.756,0.009,5.22,0.01,5.33,0.01,5.52,0.01,5.62,0.01,185.3,0.42,split,,,,,,,,,,4.648081,0.003695,5.321,0.324,4.929,0.047,4.903,0.02,2772,,,,4.58,4.81,0.15,4.7,4.82,0.15,4.652,0.014,4.756,0.009
5143,7.586,0.016,7.201,0.011,,,,,,,,,,,,,,,,,,,,,7.088319,0.002772,6.429,0.02,6.29,0.04,6.244,0.018,5143,,,,7.52,6.98,0.15,7.35,6.96,0.15,7.586,0.016,7.201,0.011
6456,5.266,0.014,5.271,0.009,,,,,,,,,,,,,,,,,,,,,5.283986,0.005816,5.243,0.046,5.301,0.021,5.265,0.027,6456,,,,5.25,5.27,0.15,5.26,5.27,0.15,5.266,0.014,5.271,0.009
10453,7.74,0.016,7.172,0.011,,,,,,,,,,,split,,,,,,,,,,5.676386,0.006934,4.918,0.037,4.838,0.018,4.599,0.017,10453,,,,7.63,6.83,0.15,7.38,6.8,0.15,7.74,0.016,7.172,0.011
11031,6.586,0.015,6.47,0.01,,,,,,,,,,,,,,,,,,,,,6.458228,0.002814,5.687,0.021,5.649,0.029,5.618,0.021,11031,,,,7.47,7.05,0.15,7.33,7.03,0.15,6.586,0.015,6.47,0.01
16753,8.091,0.015,7.599,0.011,,,,,,,,,,,,,,,,,,,,,7.419692,0.002762,6.61,0.018,6.43,0.038,6.349,0.018,16753,,,,8,7.3,0.15,7.78,7.27,0.15,8.091,0.015,7.599,0.011
17094,,,,,,,,,,,,,,,combined,4.57,0.01,4.26,0.01,,,,,,4.153745,0.003141,3.658,0.248,3.439,0.212,3.463,0.192,17094,,,,4.59,4.12,0.15,4.43,4.1,0.15,4.57,0.01,4.26,0.01
27176,5.973,0.014,5.662,0.009,5.97,0.01,5.66,0.01,,,,,,,combined,,,,,5.945,0.005,5.631,0.005,,5.553771,0.003083,5.058,0.037,4.936,0.059,4.903,0.02,27176,,,,5.93,5.48,0.15,5.78,5.46,0.15,5.973,0.014,5.662,0.009
29316,5.808,0.014,5.451,0.009,5.91,0.01,5.56,0.01,7.93,0.02,7.49,0.01,218.3,0.76,"combined, but unclear? ---- Now when I run it says split with A and C? (Second Values are for C)",,,,,,,,,,5.435337,0.003314,5.016,0.222,4.633,0.016,4.506,0.02,29316,,,,5.75,5.25,0.15,5.58,5.23,0.15,5.808,0.014,5.451,0.009
