,HD,HIP,P (yr),P_err (yr),a (mas),a_err (mas),e,e_err,i (deg),i_err (deg),w (deg),w_err (deg),bigw (deg),bigw_err (deg),T (mjd),T_err (mjd),residual (micro-as),binary_separation (mas),HIP_distance (pc),HIP_distance_err (pc),Gaia_distance (pc),Gaia_distance_err (pc),a_HIP (au),a_HIP_err (au),a_Gaia (au),a_Gaia_err (au),Mdyn_HIP (Msun),Mdyn_HIP_err (Msun),Mdyn_Gaia (Msun),Mdyn_Gaia_err (Msun),Mdyn_over_d3 (x10e-6),Mdyn_over_d3_err (x10e-6),triple,SpType (primary?),dmag_speckle_v,dmag_speckle_v_err,dmag_speckle_i,dmag_speckle_i_err,dmag_wds_v,dmag_wds_v_err,dmag_h,dmag_h_err,dmag_k,dmag_k_err,M1_ph,M2_ph,Msum_ph,Diameters,complete vsini,vsini,Gaia vsini,Gaia Teff,Gaia e_plx,Gaia Fe/H,Gaia Dist,Complete[Fe/H],G-C [Fe/H],Av,kerv_dist,e_kerv,Teff_bibcode,Teff
0,1976,1921,178.1851259,4.156222562,216.6977252,3.962871728,0.186905661,0.011098309,64.11200392,0.550678847,311.8807833,4.253013942,27.86960673,0.443592669,34502.24592,635.9821582,122.69,122.2392318,306.7484672,59.27961148,406.1573454,54.43805259,,,,,,,,,0.320885697,0.007115978,y,B5IV,0.88,0.15,0.89,0.15,0.87,0.04,1.2,0.3,,,,,,0.176,130,130,,15002.3,0.330000013,0.0045,390.9003,0.0045,,0.147,306.7484663,0.63,2010ApJ...722..605H,15010
1,2772,2505,222.1719747,2.046509484,618.922598,3.922421483,0.882102844,0.001078152,65.57608961,0.052424852,101.1778156,0.06055633,38.14243221,0.095918685,57712.2703,1.642997905,63.04,196.0628481,115.7407361,5.760244837,134.6384285,11.06503031,,,,,,,,,4.803495322,0.022249783,,B8Vn,0.11,0.15,0.17,0.15,0.22,0.08,0.76,0.17,,,3.92,2.75,6.67,0.285,220,220,,11216.6,0.610400021,0.4411,190.0325,0.4411,,0.067,115.7407407,0.43,2005A&A...444..941P,12246
2,5143,4176,59.63214008,0.533924584,234.1741196,2.360546356,0.434821721,0.006251951,73.21513768,0.324855921,358.1273238,0.927480403,221.6575581,0.212826747,56148.57547,65.89544954,2207.54,105.2267712,125.9445835,11.57928812,103.06622,1.799476253,,,,,,,,,3.618549122,0.089628451,y,F0V,1.21,0.15,1.04,0.15,1.18,0.23,,,0.98,0.14,,,,0.223,14.9129,,14.9129,6813,0.169400007,-0.6933,109.2363,-0.6933,0.02,0.054,125.9445844,0.73,2011A&A...530A.138C,6886
3,6456,5131,14.53695374,0.015403761,115.6031815,0.063961672,0.5195018,0.000487736,77.60390835,0.011080662,305.0325161,0.06722012,135.0564824,0.006975213,54288.95841,5.83546502,22.32,69.63579776,84.31703448,4.834366417,,,,,,,,,,,7.310869272,0.00616441,,A1Vn,0.81,0.15,0.7,0.15,0.88,0.22,0.8,0.19,,,2.05,1.93,3.98,0.291,255,255,322.8001,9425.6,0.603799999,-0.46,99.6366,-0.46,,0,87.88890842,0.088,2022MNRAS.517.2925C,9371
4,10453,7916,536.5388653,31.37218476,2290.670034,72.32472874,0.901486177,0.003552801,82.39897175,0.107978299,172.1080898,0.471635961,87.51346248,0.115562141,57094.02196,28.3615532,20.07,124.3554249,39.44773116,1.058163987,,,,,,,,,,,41.36277301,0.861865914,,F5V,1.17,0.15,1.04,0.15,1.15,0.26,0.96,0.06,,,1.33,1,2.33,0.478,14,14,,,,,,-0.38,-0.38,0,39.44773176,0.68,2003AJ....125.1598L,6457
5,11031,8475,35.59640971,0.12123037,123.7056223,1.262133187,0.235249488,0.015702256,36.46674152,1.988684215,359.9999981,8.884223578,25.15918952,4.190215428,53264.26057,241.9464533,66.08,152.6524328,127.5510179,16.59464711,,,,,,,,,,,1.488482164,0.050597729,,A3V,2.97,0.15,2.49,0.15,,,2.49,0.11,,,,,,0.263,40,40,,10406.6,0.1228,-1.0662,140.3914,-1.0662,,0.065,127.5510204,1.02,2012A&A...537A.120Z,8995
6,16753,12466,316.8459193,26.22006521,405.4633694,19.98483316,0.839573645,0.008026945,141.9465677,0.663862781,81.33450291,2.866742843,236.077237,2.409208787,57752.8851,23.83820268,749.72,119.6823966,188.3239192,28.72737789,198.3457961,3.072536511,,,,,,,,,0.663128877,0.011934706,,F5V,0.66,0.15,0.69,0.15,0.6,0.12,,,0.79,0.03,1.98,1.81,3.79,0.22,30,30,25.2934,,0.078100003,,,0.11,0.11,0.043,188.3239171,0.81,2011A&A...530A.138C,6515
7,17094,12828,33.46807655,0.132549205,538.5979764,1.504670946,0.921804752,0.000324598,95.61095488,0.011457834,258.3869269,0.01426538,238.7472037,0.005975651,58609.77705,0.102580349,54.76,311.6127581,25.77319638,0.212562444,26.6011215,0.1726592,,,,,,,,,139.4891529,0.207457904,,A9IIIp,3.88,0.15,3.33,0.15,3.38,0.19,2.93,0.28,,,,,,0.793486,40,40,,,,,,,,0,26.60140455,0.244,2003AJ....126.2048G,7225
8,27176,20087,11.34953012,0.004078108,134.2248675,0.181497462,0.16471473,0.002200606,124.0946137,0.140825341,336.7603241,0.321554683,350.3038814,0.065111801,43397.33308,6.992079624,48.06,103.6867231,54.05405405,1.46092038,51.26811687,0.628718007,,,,,,,,,18.77189305,0.071848131,,F0V,,,,,2.03,0.35,1.9,0.18,,,,,,0.40734,91.2,91.2,87.7849,,0.239199996,,,,,0,51.26890541,0.239,2012A&A...537A.120Z,7328
9,29316,21730,26.58989938,0.064585039,190.8957539,2.330602912,0.8851823,0.004858082,135.3283518,0.288429097,60.18697816,1.767514673,28.55417246,1.828222691,47488.33615,18.77391184,204.39,265.914519,44.46420677,9.272438168,66.25236852,1.639432015,,,,,,,,,9.732836679,0.3226085,,A8V,1.38,0.15,1.29,0.15,1.22,0.21,1.84,0.21,,,,,,0.45,125,125,,,0.37349999,,,0.11,0.11,0,66.25149066,0.373,2012A&A...537A.120Z,7031
